	statement	label	article_summary	final_label	0	1	2	3	4
0	A video shows the Russian warship Moskva exploding.	FALSE	The original source of the false video showing the sinking of the Moskva was a military exercise conducted by the Norwegian Navy in 2013. The navy blasted one of its own decommissioned ships with a missile to test out new weaponry.	W	0	0	0	0	0
1	“Abigail Spanberger still votes with and shares Joe Biden’s positions 100% of the time.”	mostly-true	Republican candidate Yesli Vega claims that incumbent Democrat Rep. Abigail Spanberger votes with and shares President Joe Biden's positions 100% of the time. To support this claim, Vega cites specific votes that Spanberger has made in alignment with Biden's agenda. Spanberger has voted to expand firearm regulations, cap out-of-pocket insulin costs, strengthen voting rights laws, expand debt limits, protect abortion rights, invest $1.2 trillion in infrastructure, and provide $1.9 trillion for COVID-19 relief. However, Spanberger has also shown some disagreement with certain aspects of Biden's policies, such as those related to the U.S.-Mexico border.	NW	0	0	0	0	0
2	"“The Walker-Kleefisch administration slashed $800 million from public schools."""	barely-true	The state Democratic Party of Wisconsin continues to claim that the Walker-Kleefisch administration slashed $800 million from public schools. However, similar claims have been debunked in the past. While the administration did cut close to that amount in a single two-year budget, it overlooks the money saved through Act 10 and subsequent funding increases that have restored a large portion of the reduction. Media reports provided by the Democratic Party of Wisconsin acknowledge both sides of the equation, but the claim remains largely unchanged.	NW	0	1	0	1	0
3	Esta grabación muestra una llamada al 911 de los migrantes atrapados en un camión en San Antonio, Texas.	FALSE	President Joe Biden states that the initial reports indicate human smuggling or trafficking as the cause of the incident in San Antonio. He expresses condolences and vows to prevent exploitation of migrants by criminal traffickers. Officials have arrested four men in connection with the incident, with one being accused of smuggling resulting in death, another charged with conspiracy, and the remaining two facing weapons offenses.	W	1	1	1	0	1
4	“Gas prices have been going up since the president’s first day in office, starting with his move to shut down the Keystone XL pipeline.”	half-true	Gas prices and crude oil prices have been on an upward trajectory throughout President Biden's tenure. There is no evidence that Biden's action on the Keystone XL pipeline caused an increase in gas prices. Gas prices were already rising due to increased demand following the easing of pandemic restrictions. The most recent spike in gas prices is largely due to the Russia-Ukraine conflict. Despite U.S. Senator Joni Ernst's claim, gas prices did not simply turn upward after Biden took office or canceled the Keystone XL pipeline.	NW	0	0	0	0	0
5	An image of a newspaper article says “True Bethel Baptist Church becomes the first church in NYS to receive a liquor license.”	pants-fire	An image of a newspaper headline is being shared on social media, falsely claiming that True Bethel Baptist Church in upstate New York has obtained a liquor license, allegedly becoming the first church in the state to do so. However, there are no credible reports from the Buffalo News or any other news organization to support this. Furthermore, a search on the New York State Liquor Authority website showed no results regarding the church's liquor license. True Bethel Baptist Church has confirmed that they do not possess a liquor license and that the image is a fabrication.	W	1	1	1	1	1
6	Says Joe Biden “shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border.”	half-true	There is no widespread testing by federal agencies at the southern border. Local governments are relied upon for testing.	NW	0	0	0	0	0
7	“Soldiers destroyed Russian tank with NLAW in ambush.”	FALSE	Facebook post claims soldiers destroyed Russian tank with NLAW in ambush; video is an animation, not real footage of war in Ukraine. Soldiers on top of the tank and tank movements resemble simulation or video game. Animation merges with one soldier's arm. Previous claims of video game footage showing fighting in Ukraine have been debunked.	NW	0	0	0	0	0
8	"Joe Biden's “$4 trillion” Build Back Better bill is ""the largest expansion of welfare programs in 60 years."""	half-true	Carla Sands attacks Biden's Build Back Better bill, claiming it would be the largest expansion of welfare programs in 60 years. Build Back Better would spend $1.75 trillion over 10 years, with funding for social safety-net programs and climate change initiatives. Experts agree that the bill would be a significant expansion of social welfare programs. It's compared to the Great Society of the 1960s, which included various initiatives addressing poverty, environmental protection, education, and more.	NW	0	0	0	0	0
9	Images show how climate change destroyed the Greenland ice sheet and harmed a polar bear from 2009 to 2019.	FALSE	Jennifer Francis from the Woodell Climate Research Center points to studies indicating that polar bears' health is decreasing due to rapid sea ice loss. Polar bears require sea ice to capture sea lions. However, Mark Serreze, director of the National Snow and Ice Data Center, explains that there is no direct connection between the ice loss in Greenland and the condition of the distressed polar bear. The Greenland ice sheet's changes and polar bears' health are two separate issues caused by different factors.	NW	0	0	0	0	0
10	U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”	mostly-true	Economic sanctions imposed by the U.S., European Union, and Japan have disrupted Russia's financial system, including its oil industry. President Joe Biden has announced a ban on Russian oil imports, which is expected to further increase gas prices in the U.S.	U	0	0	0	0	0
11	“Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”	mostly-true	Data from the Federal Reserve Economic Data (FRED) shows the inflation rate is at its highest point in 40 years, reaching 8.5% in March 2022. Inflation has been increasing every month since Biden took office, except for a slight plateau in mid-2021. Gallagher claims inflation has gone up every month of Biden's presidency, which is mostly true. Rising inflation is attributed to factors like increased consumer spending and supply chain issues.	NW	0	0	1	0	1
12	“Moderna has been pulled in Iceland and pulled for everyone under age 30 in Finland, Sweden, Norway, Denmark due to heart issues.”	FALSE	A viral Facebook post claiming that Moderna has been pulled in Iceland and for everyone under age 30 in Scandinavian countries due to heart issues is inaccurate. Iceland continues to administer Moderna for booster shots for those 60 and older. Among the listed countries, only Sweden temporarily suspended the use of Moderna for all people under 30. Finland limits Moderna to men and boys under 30. Norway recommends Pfizer over Moderna for certain individuals but does not prohibit anyone from taking Moderna. Denmark clarified that people under 18 can still request Moderna.	U	0	0	0	0	0
13	Says CNN reported Queen Elizabeth II died.	FALSE	Hollywood Unlocked, an obscure U.S. blog, claimed that Queen Elizabeth II had passed away. The story went viral, with Variety reporting on the suspicious nature of the blog breaking the news before British outlets.	NW	1	0	1	1	1
14	“39 out of 42 (countries) in Europe have more restrictive abortion laws” than Mississippi.	half-true	Governor Reeves relied on a study by the Charlotte Lozier Institute to support his claim about European abortion laws, but the study's definition of 'elective' abortions may not align with how the term is interpreted in different countries.	NW	1	0	0	0	0
15	"""According to Republican Rep. Jeff Shipley, teachers should not receive a pay raise if they teach American history that Republicans don’t agree with."""	mostly-true	Rep. Jeff Shipley introduced and later withdrew an amendment to a school funding bill that would have tied teacher pay raises to compliance with a ban on divisive concepts in public school teaching. Shipley clarifies that teachers who teach ideas like inherent racism or tenets of Critical Race Theory should not receive pay raises. While lawmakers do not directly approve pay raises for teachers, they affect school boards' available money by approving state funding for school districts.	W	0	0	0	0	0
16	“Jen Kiggans’ campaign confirmed today that she would support a national abortion ban.”	half-true	U.S. Rep. Elaine Luria, R-Virginia, claims Rep. Jen Kiggans supports a national abortion ban, referring to a bill introduced by U.S. Sen. Lindsey Graham that would ban abortion after 15 weeks. However, Kiggans has not explicitly endorsed the bill and her stance on abortion is unclear. Luria's claim is based on a vague statement made by a spokesman for Kiggans' campaign. The bill is unlikely to pass and President Biden is likely to veto it if it does. Kiggans' position on the bill remains unclear.	NW	0	0	0	0	0
17	The Biden administration inherited gains of “50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%.”	half-true	Klain exaggerates decline in COVID-19 deaths under Biden compared to Trump; Daily average of deaths decreased by 61% under Biden; Jan. 20 had higher death total than seven-day rolling average.	NW	0	0	0	0	0
18	Every time a Republican has been elected president over the last few decades, House Democrats have objected to the result	mostly-true	Derek T. Muller, a professor at the University of Iowa College of Law, documented the history of Democrats objecting to Republican presidential winners. House Democrats made objections in 2001, 2005, and 2017, but the objections were considered symbolic as the losing candidates had already conceded. In 2001, black voters in Florida being disenfranchised was a concern, but the objections were ultimately gaveled down by Vice President Al Gore. The objections made in prior years were regarded as disconcerting, even if they lacked the same intent to overturn the election results as the 2021 objections.	NW	1	1	1	1	0
19	“Fully vaccinated Australians in hospital for COVID-19 surpass unvaccinated”	half-true	Headline misrepresents data; experts confirm vaccines' effectiveness	NW	0	0	0	0	0
20	About a federal hospital price transparency requirement, “Nobody’s enforcing that law.”	half-true	Although hospitals have been slow to post the required price information, enforcement efforts are gradually ramping up. The transparency directive is a first-of-its-kind rule, leading to a learning curve for hospitals and regulators. However, experts point out that the availability of price data alone may not lead to a consumer revolution in healthcare, as patients often rely on recommendations from their doctors and may find it challenging to navigate the complex data. The ad by Power to the Patients continues to run despite improvements in enforcement.	U	1	0	0	0	1
21	In 1975, then-U.S. Sen. Joe Biden opposed efforts by President Gerald Ford to aid South Vietnam and evacuate refugees.	barely-true	After Saigon fell to the North Vietnamese military, Biden supported a resolution welcoming the first 130,000 refugees from Vietnam, Cambodia, and Laos to the U.S. Congress approved and Ford signed a separate measure authorizing funds to assist refugees from Vietnam and Cambodia, which Biden gave a favorable recommendation to. Despite the claim that Biden opposed efforts to aid South Vietnam and evacuate refugees, his statements and actions showed his priority was evacuating U.S. citizens and Vietnamese refugees while expressing concerns about military aid.	W	1	0	1	0	0
22	Says Chuck Norris recorded a video in response to the Biden administration saying, “Our great country and freedom are under attack.”	FALSE	Chuck Norris expresses concern about the future of our country, warning against its potential shift towards socialism.	W	1	1	1	1	1
